time,open,high,low,close,Volume
2025-09-30T18:00:00-04:00,6725.5,6731.25,6723.75,6729.75,3754
2025-09-30T18:15:00-04:00,6729.75,6732,6727.25,6731.75,2348
2025-09-30T18:30:00-04:00,6731.75,6733.25,6728.5,6729.5,2130
2025-09-30T18:45:00-04:00,6729.75,6729.75,6720.75,6723.75,2397
2025-09-30T19:00:00-04:00,6723.75,6725.5,6720.25,6724.25,1843
2025-09-30T19:15:00-04:00,6724.5,6726.75,6723.25,6724.75,1290
2025-09-30T19:30:00-04:00,6724.75,6726,6724.25,6724.75,443
2025-09-30T19:45:00-04:00,6724.75,6726,6723,6723.5,867
2025-09-30T20:00:00-04:00,6723.5,6725,6720.5,6721.5,1542
2025-09-30T20:15:00-04:00,6721.5,6721.5,6714.25,6715,3807
2025-09-30T20:30:00-04:00,6715,6717.75,6714.5,6717.25,2209
2025-09-30T20:45:00-04:00,6717,6718.5,6713.25,6714.75,2530
2025-09-30T21:00:00-04:00,6714.75,6715.25,6711.75,6712.5,2090
2025-09-30T21:15:00-04:00,6712.75,6716.5,6712.5,6716.25,1920
2025-09-30T21:30:00-04:00,6716.25,6717,6713.5,6716.5,1525
2025-09-30T21:45:00-04:00,6716.5,6716.75,6714.25,6714.75,1062
2025-09-30T22:00:00-04:00,6714.75,6715,6711.5,6711.75,1714
2025-09-30T22:15:00-04:00,6711.75,6715,6711.5,6714,1276
2025-09-30T22:30:00-04:00,6714,6714,6710.25,6711.25,1199
2025-09-30T22:45:00-04:00,6711.25,6712,6710,6711,1058
2025-09-30T23:00:00-04:00,6711,6711.25,6707.5,6708,2072
2025-09-30T23:15:00-04:00,6707.75,6708.5,6706.25,6707.5,1663
2025-09-30T23:30:00-04:00,6707.25,6707.75,6706.25,6706.25,841
2025-09-30T23:45:00-04:00,6706.25,6709,6706,6708.25,1220
2025-10-01T00:00:00-04:00,6708.5,6710.75,6708,6709.25,1719
2025-10-01T00:15:00-04:00,6709,6709.75,6707.75,6709.75,787
2025-10-01T00:30:00-04:00,6709.75,6710.25,6708.75,6709.5,1018
2025-10-01T00:45:00-04:00,6709.25,6710.25,6708,6708.5,876
2025-10-01T01:00:00-04:00,6708.75,6709.75,6707.5,6707.75,975
2025-10-01T01:15:00-04:00,6707.5,6707.75,6705,6705.75,1887
2025-10-01T01:30:00-04:00,6705.75,6706.75,6705,6706.5,1341
2025-10-01T01:45:00-04:00,6706.25,6707.75,6704,6704.5,1779
2025-10-01T02:00:00-04:00,6704.5,6707,6703.75,6704.5,3069
2025-10-01T02:15:00-04:00,6704.5,6704.75,6702,6702.25,2309
2025-10-01T02:30:00-04:00,6702.25,6703.25,6698,6698,3702
2025-10-01T02:45:00-04:00,6697.75,6698,6680,6683.5,18977
2025-10-01T03:00:00-04:00,6683.25,6691,6680.75,6683,10293
2025-10-01T03:15:00-04:00,6683,6689.5,6682.5,6687.25,6854
2025-10-01T03:30:00-04:00,6687.5,6690.25,6684.25,6685.75,4448
2025-10-01T03:45:00-04:00,6685.5,6689.75,6683.25,6687.5,4281
2025-10-01T04:00:00-04:00,6687.5,6688.25,6683.75,6686.5,5025
2025-10-01T04:15:00-04:00,6686.5,6688,6684.25,6687.5,2916
2025-10-01T04:30:00-04:00,6687.5,6698.5,6687.25,6697.75,7423
2025-10-01T04:45:00-04:00,6697.75,6698.75,6695,6696,3657
2025-10-01T05:00:00-04:00,6696,6702.25,6695.25,6700.5,4632
2025-10-01T05:15:00-04:00,6700.5,6706,6699.5,6704.5,4891
2025-10-01T05:30:00-04:00,6704.5,6705.25,6700.5,6702.25,4011
2025-10-01T05:45:00-04:00,6702,6703.5,6701,6702,2317
2025-10-01T06:00:00-04:00,6702,6705.75,6701.75,6703.5,3320
2025-10-01T06:15:00-04:00,6703.5,6705,6700.5,6700.75,3139
2025-10-01T06:30:00-04:00,6700.75,6703,6697.75,6698.75,3695
2025-10-01T06:45:00-04:00,6698.5,6700.75,6698.25,6699.5,2708
2025-10-01T07:00:00-04:00,6699.5,6706.5,6699.25,6705.5,4479
2025-10-01T07:15:00-04:00,6705.75,6708.5,6705,6708.25,2959
2025-10-01T07:30:00-04:00,6708.5,6711.25,6707.25,6710,3678
2025-10-01T07:45:00-04:00,6709.75,6715.25,6709.5,6714.25,5684
2025-10-01T08:00:00-04:00,6714.25,6715.25,6710,6712,6761
2025-10-01T08:15:00-04:00,6711.75,6714.5,6702,6710,19558
2025-10-01T08:30:00-04:00,6710.25,6714.5,6707.75,6711.25,9185
2025-10-01T08:45:00-04:00,6711.25,6714.5,6708,6710.5,8057
2025-10-01T09:00:00-04:00,6710.75,6713.5,6709.5,6710.75,5284
2025-10-01T09:15:00-04:00,6710.5,6712.25,6705.25,6706.5,11001
2025-10-01T09:30:00-04:00,6706.75,6729,6706.25,6727.5,89642
2025-10-01T09:45:00-04:00,6727.75,6728,6705.25,6712.75,76372
2025-10-01T10:00:00-04:00,6712,6722.25,6708.5,6721.5,46380
2025-10-01T10:15:00-04:00,6721.5,6732.25,6721,6730.5,44720
2025-10-01T10:30:00-04:00,6730.5,6735.75,6727.5,6729.75,48575
2025-10-01T10:45:00-04:00,6730,6733.5,6728,6733.25,35250
2025-10-01T11:00:00-04:00,6733.25,6737.75,6732.25,6736,35528
2025-10-01T11:15:00-04:00,6736.25,6739.5,6732.75,6738,28633
2025-10-01T11:30:00-04:00,6738.25,6745.25,6738,6744.75,35403
2025-10-01T11:45:00-04:00,6744.75,6747.5,6744.25,6744.75,28108
2025-10-01T12:00:00-04:00,6745,6746.75,6743,6744.75,24388
2025-10-01T12:15:00-04:00,6744.75,6746.5,6741,6744.25,21754
2025-10-01T12:30:00-04:00,6744.25,6745.5,6741,6741.25,17606
2025-10-01T12:45:00-04:00,6741.25,6744.75,6739,6744.25,22068
2025-10-01T13:00:00-04:00,6744.25,6750.5,6743,6748.75,29869
2025-10-01T13:15:00-04:00,6748.75,6756.5,6748.75,6755,27252
2025-10-01T13:30:00-04:00,6755.25,6755.75,6751.25,6753.5,20151
