time,open,high,low,close,New York VWAP,VWAP_NY - STDEV +2,VWAP_NY - STDEV +1,VWAP_NY - STDEV -1,VWAP_NY - STDEV -2,Pivot,R1,S1,R2,S2,R3,S3,Pivot Label,Volume,MA,ATR
2026-09-23T00:00:00-04:00,31014,31017.5,31011.25,31011.25,,,,,,,,,,,,,,377,,
2026-09-23T00:01:00-04:00,31010.75,31017.75,31010.75,31017.75,,,,,,,,,,,,,,363,,
2026-09-23T00:02:00-04:00,31017.75,31020.25,31015.5,31018.5,,,,,,,,,,,,,,298,,
2026-09-23T00:03:00-04:00,31019,31022.25,31017.75,31022,,,,,,,,,,,,,,203,,
2026-09-23T00:04:00-04:00,31022,31024.75,31020.75,31024.5,,,,,,,,,,,,,,455,,
2026-09-23T00:05:00-04:00,31024.5,31033.25,31024,31033,,,,,,,,,,,,,,1081,,
2026-09-23T00:06:00-04:00,31032.5,31035,31029.75,31030.5,,,,,,,,,,,,,,661,,
2026-09-23T00:07:00-04:00,31030.25,31031.75,31028.5,31031,,,,,,,,,,,,,,296,,
2026-09-23T00:08:00-04:00,31030.75,31033.5,31028.75,31032.75,,,,,,,,,,,,,,314,,
2026-09-23T00:09:00-04:00,31032.5,31033.5,31029.5,31032,,,,,,,,,,,,,,286,,
2026-09-23T00:10:00-04:00,31031.75,31033,31028,31028.5,,,,,,,,,,,,,,287,,
2026-09-23T00:11:00-04:00,31029,31033.75,31024.25,31033.25,,,,,,,,,,,,,,622,,
2026-09-23T00:12:00-04:00,31033,31034.25,31031.5,31032.75,,,,,,,,,,,,,,279,,
2026-09-23T00:13:00-04:00,31033,31034,31031.25,31033,,,,,,,,,,,,,,194,,
2026-09-23T00:14:00-04:00,31033,31033.75,31029.75,31031.75,,,,,,,,,,,,,,202,,
2026-09-23T00:15:00-04:00,31031.75,31036,31029.75,31035.75,,,,,,,,,,,,,,432,,
2026-09-23T00:16:00-04:00,31035.75,31036.25,31031.5,31034,,,,,,,,,,,,,,383,,
2026-09-23T00:17:00-04:00,31033.25,31035.25,31032.25,31034.5,,,,,,,,,,,,,,183,,
2026-09-23T00:18:00-04:00,31034.5,31035.25,31031.75,31035,,,,,,,,,,,,,,141,,
2026-09-23T00:19:00-04:00,31034.5,31038,31033,31037,,,,,,,,,,,,,,292,,
2026-09-23T00:20:00-04:00,31037.5,31040,31035.5,31037.75,,,,,,,,,,,,,,540,,
2026-09-23T00:21:00-04:00,31038,31044.75,31038,31044.75,,,,,,,,,,,,,,708,,
2026-09-23T00:22:00-04:00,31044,31044.75,31040.75,31042.25,,,,,,,,,,,,,,436,,
2026-09-23T00:23:00-04:00,31042.25,31042.75,31040.75,31041.25,,,,,,,,,,,,,,172,,
2026-09-23T00:24:00-04:00,31041.25,31042.25,31039.75,31040,,,,,,,,,,,,,,160,,
2026-09-23T00:25:00-04:00,31040.5,31043.25,31039.75,31041,,,,,,,,,,,,,,305,,
2026-09-23T00:26:00-04:00,31041.25,31043.25,31039.25,31039.75,,,,,,,,,,,,,,249,,
2026-09-23T00:27:00-04:00,31039.25,31043.25,31039,31042.25,,,,,,,,,,,,,,142,,
2026-09-23T00:28:00-04:00,31042,31042,31036.5,31038.5,,,,,,,,,,,,,,310,,
2026-09-23T00:29:00-04:00,31038,31040.25,31037,31039.75,,,,,,,,,,,,,,283,,
2026-09-23T00:30:00-04:00,31039.25,31044,31038.25,31043.5,,,,,,,,,,,,,,354,,
2026-09-23T00:31:00-04:00,31043.75,31048.5,31043.25,31048,,,,,,,,,,,,,,665,,
2026-09-23T00:32:00-04:00,31048,31048,31043.25,31044,,,,,,,,,,,,,,250,,
2026-09-23T00:33:00-04:00,31044.5,31047,31044.25,31045.5,,,,,,,,,,,,,,246,,
2026-09-23T00:34:00-04:00,31045.5,31047,31045,31045.5,,,,,,,,,,,,,,178,,
2026-09-23T00:35:00-04:00,31046,31051.75,31046,31049.5,,,,,,,,,,,,,,690,,
2026-09-23T00:36:00-04:00,31050,31052,31048.75,31050.5,,,,,,,,,,,,,,311,,
2026-09-23T00:37:00-04:00,31050.25,31051.5,31048,31049,,,,,,,,,,,,,,191,,
2026-09-23T00:38:00-04:00,31048,31048,31041,31042.25,,,,,,,,,,,,,,572,,
2026-09-23T00:39:00-04:00,31041.75,31044.25,31041,31044,,,,,,,,,,,,,,319,,
2026-09-23T00:40:00-04:00,31044,31045,31041.25,31042,,,,,,,,,,,,,,206,,
2026-09-23T00:41:00-04:00,31042.25,31048.25,31042,31046.25,,,,,,,,,,,,,,394,,
2026-09-23T00:42:00-04:00,31046,31047.75,31044,31046.75,,,,,,,,,,,,,,174,,
2026-09-23T00:43:00-04:00,31046.5,31050.5,31046.5,31049.5,,,,,,,,,,,,,,285,,
2026-09-23T00:44:00-04:00,31049.5,31050.5,31048.25,31049.5,,,,,,,,,,,,,,222,,
2026-09-23T00:45:00-04:00,31048.5,31049.5,31046.25,31048.5,,,,,,,,,,,,,,311,,
2026-09-23T00:46:00-04:00,31048.5,31050.5,31048.25,31049.75,,,,,,,,,,,,,,137,,
2026-09-23T00:47:00-04:00,31050,31051.5,31047.75,31048.75,,,,,,,,,,,,,,221,,
2026-09-23T00:48:00-04:00,31049,31051.5,31047.5,31049.25,,,,,,,,,,,,,,181,,
2026-09-23T00:49:00-04:00,31050,31051.75,31049.25,31049.25,,,,,,,,,,,,,,120,,
2026-09-23T00:50:00-04:00,31049.5,31050.5,31044.25,31047.75,,,,,,,,,,,,,,444,,
2026-09-23T00:51:00-04:00,31048.25,31048.75,31044,31046,,,,,,,,,,,,,,372,,
2026-09-23T00:52:00-04:00,31046,31046.5,31042,31042.5,,,,,,,,,,,,,,194,,
2026-09-23T00:53:00-04:00,31042.5,31044.75,31041.25,31041.5,,,,,,,,,,,,,,268,,
2026-09-23T00:54:00-04:00,31041.75,31043,31038,31040,,,,,,,,,,,,,,756,,
2026-09-23T00:55:00-04:00,31040.25,31040.5,31037.5,31038.25,,,,,,,,,,,,,,364,,
2026-09-23T00:56:00-04:00,31038,31042.25,31037.5,31041.5,,,,,,,,,,,,,,303,,
2026-09-23T00:57:00-04:00,31041.5,31041.75,31032,31033.25,,,,,,,,,,,,,,762,,
2026-09-23T00:58:00-04:00,31033.5,31035.25,31033,31034.75,,,,,,,,,,,,,,414,,
2026-09-23T00:59:00-04:00,31034.5,31036.75,31031,31035.25,,,,,,,,,,,,,,441,,
2026-09-23T01:00:00-04:00,31035.5,31037.5,31032.5,31032.5,,,,,,,,,,,,,,393,,
2026-09-23T01:01:00-04:00,31032.75,31034.25,31025,31026,,,,,,,,,,,,,,853,,
2026-09-23T01:02:00-04:00,31026.5,31029.75,31021.5,31024.5,,,,,,,,,,,,,,568,,
2026-09-23T01:03:00-04:00,31024.25,31027,31022,31026.25,,,,,,,,,,,,,,596,,
2026-09-23T01:04:00-04:00,31025.5,31029.5,31025.5,31029,,,,,,,,,,,,,,221,,
2026-09-23T01:05:00-04:00,31028.5,31031.5,31027.25,31028.25,,,,,,,,,,,,,,468,,
2026-09-23T01:06:00-04:00,31028.5,31029.25,31023,31025.25,,,,,,,,,,,,,,490,,
2026-09-23T01:07:00-04:00,31025.25,31032.75,31025.25,31032.25,,,,,,,,,,,,,,393,,
2026-09-23T01:08:00-04:00,31032.5,31034,31027.25,31029.75,,,,,,,,,,,,,,492,,
2026-09-23T01:09:00-04:00,31030.75,31033.25,31029,31033,,,,,,,,,,,,,,288,,
2026-09-23T01:10:00-04:00,31033,31039.5,31031.5,31035.5,,,,,,,,,,,,,,679,,
2026-09-23T01:11:00-04:00,31035.5,31037,31031,31031.5,,,,,,,,,,,,,,384,,
2026-09-23T01:12:00-04:00,31032,31034.25,31028.75,31029.75,,,,,,,,,,,,,,327,,
2026-09-23T01:13:00-04:00,31029.75,31034.5,31029,31033,,,,,,,,,,,,,,272,,
2026-09-23T01:14:00-04:00,31033.5,31034.5,31032,31033.25,,,,,,,,,,,,,,152,,
2026-09-23T01:15:00-04:00,31033.5,31037.75,31032.75,31034.25,,,,,,,,,,,,,,288,,
2026-09-23T01:16:00-04:00,31034.25,31039.5,31034,31037.75,,,,,,,,,,,,,,325,,
2026-09-23T01:17:00-04:00,31037.25,31043,31035.75,31041,,,,,,,,,,,,,,754,,
2026-09-23T01:18:00-04:00,31041.25,31041.5,31036.5,31036.75,,,,,,,,,,,,,,374,,
2026-09-23T01:19:00-04:00,31036.25,31037,31029.5,31032,,,,,,,,,,,,,,620,,
2026-09-23T01:20:00-04:00,31030.75,31031.5,31023.25,31026.75,,,,,,,,,,,,,,737,,
2026-09-23T01:21:00-04:00,31026.75,31030.75,31024,31024,,,,,,,,,,,,,,367,,
2026-09-23T01:22:00-04:00,31024.25,31025,31020,31021.25,,,,,,,,,,,,,,690,,
