date;hour;time;high;low
2024-08-02;09:30;09:30;536.98999;534.010010
2024-08-02;09:30;09:45;536.66998;533.89001
2024-08-02;09:30;10:00;534.96002;529.76001
2024-08-02;09:30;10:15;531.28003;529.59003
2024-08-06;09:30;09:30;520.53998;517.91998
2024-08-06;09:30;09:45;522.44000;517.87000
2024-08-06;09:30;10:00;523.95001;521.17999
2024-08-06;09:30;10:15;524.28998;522.5
2024-08-08;09:30;09:30;524.38000;522.94000
2024-08-08;09:30;09:45;525.049988;521.84003
2024-08-08;09:30;10:00;526.46997;524.65997
2024-08-08;09:30;10:15;527.98999;525.94000
2024-09-06;09:30;09:30;551.59998;548.46002
2024-09-06;09:30;09:45;550.65002;547.83002
2024-09-06;09:30;10:00;548.20001;546.56000
2024-09-06;09:30;10:15;547.37000;544.64001
2025-02-24;09:30;09:30;603.030029;600.65002
2025-02-24;09:30;09:45;601.32001;598.63129
2025-02-24;09:30;10:00;599.16998;596.48999
2025-02-24;09:30;10:15;599.44501;597.81000
2025-02-27;09:30;09:30;597.91998;595.059998
2025-02-27;09:30;09:45;596.44000;592.14001
2025-02-27;09:30;10:00;594.39001;590.52002
2025-02-27;09:30;10:15;596.52002;593.84998
2025-03-03;09:30;09:30;597.34003;594.65002
2025-03-03;09:30;09:45;595.65002;592.51001
2025-03-03;09:30;10:00;593.44000;590.71002
2025-03-03;09:30;10:15;594.11499;591.46002
2025-03-11;09:30;09:30;560.96997;558.29999
2025-03-11;09:30;09:45;561.73999;559.35999
2025-03-11;09:30;10:00;562.12000;556.32001
2025-03-11;09:30;10:15;558.85999;555.65002
2025-04-04;09:30;09:30;525.87000;519.15997
2025-04-04;09:30;09:45;524.48999;519.58002
2025-04-04;09:30;10:00;523.26001;518
2025-04-04;09:30;10:15;519.48999;516.23999
2025-04-07;09:30;09:30;489.29999;481.79999
2025-04-07;09:30;09:45;496.45999;482.51001
2025-04-07;09:30;10:00;517.42999;493.37000
2025-04-07;09:30;10:15;523.16998;497.47000
2025-04-08;09:30;09:30;522.16998;517.78998
2025-04-08;09:30;09:45;523.28998;518.73999
2025-04-08;09:30;10:00;524.44000;522.14001
2025-04-08;09:30;10:15;524.97998;522.81000
2025-04-09;09:30;09:30;502.040009;493.42999
2025-04-09;09:30;09:45;501.37000;495.72501
2025-04-09;09:30;10:00;503.67001;496.67001
2025-04-09;09:30;10:15;500.38000;496.68369
2025-04-10;09:30;09:30;533.49500;528.51001
2025-04-10;09:30;09:45;533.33002;528.88000
2025-04-10;09:30;10:00;530.14001;526.34009
2025-04-10;09:30;10:15;530.72998;527.039978
2025-04-11;09:30;09:30;526.27002;521.099976
2025-04-11;09:30;09:45;528.84003;525.25
2025-04-11;09:30;10:00;528.42999;523.38000
2025-04-11;09:30;10:15;527.63647;520.070007
2025-04-24;09:30;09:30;537.92999;535.45038
2025-04-24;09:30;09:45;539.64618;537.73999
2025-04-24;09:30;10:00;540.40002;539.010010
2025-04-24;09:30;10:15;542.33002;539.53003
2025-05-21;12:30;12:30;592.25;591.67999
2025-05-21;12:30;12:45;592.58002;591.56000
2025-05-21;12:30;13:00;591.78998;589.90002
2025-05-21;12:30;13:15;590.19000;584.54999
2025-10-14;09:30;09:30;657.40997;653.5
2025-10-14;09:30;09:45;656.96002;653.16998
2025-10-14;09:30;10:00;658.35999;656.48999
2025-10-14;09:30;10:15;659.90997;657.81000
2025-10-17;09:30;09:30;661.33002;658.22998
2025-10-17;09:30;09:45;662.40002;658.34998
2025-10-17;09:30;10:00;663.31000;659.65997
2025-10-17;09:30;10:15;663.71503;661.53998
2025-11-14;09:30;09:30;666.85999;663.26501
2025-11-14;09:30;09:45;668.84497;666.45001
2025-11-14;09:30;10:00;668.91998;666.91998
2025-11-14;09:30;10:15;669.96002;667.42999
2025-11-18;09:30;09:30;664.26001;660.95502
2025-11-18;09:30;09:45;663.45001;658.60999
2025-11-18;09:30;10:00;659.46002;656.79999
2025-11-18;09:30;10:15;660.31000;657.070007
2025-11-25;09:30;09:30;669.97998;667.19000
2025-11-25;09:30;09:45;669.010010;664.47998
2025-11-25;09:30;10:00;668.90002;665.91998
2025-11-25;09:30;10:15;668.62000;666.78003
2026-01-02;09:30;09:30;686.15002;684.12000
2026-01-02;09:30;09:45;686.84003;684.76001
2026-01-02;09:30;10:00;686.87000;684.12000
2026-01-02;09:30;10:15;684.41870;681.58002
2026-02-05;09:30;09:30;683.34998;678.76001
2026-02-05;09:30;09:45;683.69000;680.28003
2026-02-05;09:30;10:00;681.38000;676.79999
2026-02-05;09:30;10:15;678.56000;676.17499
2026-02-13;09:30;09:30;682.51001;677.52002
2026-02-13;09:30;09:45;683.32001;679.56000
2026-02-13;09:30;10:00;682.90002;679.77679
2026-02-13;09:30;10:15;683.37000;680.46002
2026-02-18;09:30;09:30;685.46002;682.83002
2026-02-18;09:30;09:45;686.38000;683.56000
2026-02-18;09:30;10:00;688.13000;686.085022
2026-02-18;09:30;10:15;688.46503;687.47998
2026-02-24;09:30;09:30;684.38000;680
2026-02-24;09:30;09:45;685.46002;682.79999
2026-02-24;09:30;10:00;684.22998;682.030029
2026-02-24;09:30;10:15;686.39001;683
2026-03-03;09:30;09:30;677.099976;673.21997
2026-03-03;09:30;09:45;674.79999;671.95001
2026-03-03;09:30;10:00;673.92999;671.63000
2026-03-03;09:30;10:15;672.95001;669.65997
2026-03-04;09:30;09:30;683.51801;680.020020
2026-03-04;09:30;09:45;681.74750;679.62000
2026-03-04;09:30;10:00;683.76001;680.87000
2026-03-04;09:30;10:15;686.27002;683.15002
2026-03-09;09:30;09:30;667.63000;663.64001
2026-03-09;09:30;09:45;664.90997;662.70001
2026-03-09;09:30;10:00;665.95001;662.39001
2026-03-09;09:30;10:15;665.65997;662.84003
2026-03-23;09:30;09:30;659.53998;656.070007
2026-03-23;09:30;09:45;660.25;657.39001
2026-03-23;09:30;10:00;660.77002;658.58002
2026-03-23;09:30;10:15;662.27002;660.090027
2026-04-02;09:30;09:30;647.46997;645.10999
2026-04-02;09:30;09:45;649.89001;645.42999
2026-04-02;09:30;10:00;650.52002;648.54999
2026-04-02;09:30;10:15;651.099976;649.52075
2026-06-09;09:30;09:30;745.35980;743.28003
2026-06-09;09:30;09:45;746.90002;744.22998
2026-06-09;09:30;10:00;745.044983;741.44000
2026-06-09;09:30;10:15;742.19910;739.41998
2026-06-10;09:30;09:30;736.25;731.5
2026-06-10;09:30;09:45;736.97998;734.74500
2026-06-10;09:30;10:00;737.59003;735.010010
2026-06-10;09:30;10:15;738.38000;735.78137
